Month,Year,State Name (state_name),State Code (state_code),Port for Import (port),Import Country (country),Principle Commodity Code (pc_code),Commodity Name (commodity),Quantity Unit Measurement (units),Value of commodity quantity (quantity),Value of commodity quantity in USD (dollars_value),Value of commodity quantity in INR (inr_value)
5,2018,West Bengal,19,Kolkata Air,China,G5,"Pearl, Precs, Semiprecs Stones",None,0,13303,898491
10,2018,Gujarat,24,Mundra,South Africa,M1,Zinc And Products Made Of Zinc,Ton,41,86012,6333227
5,2023,Maharashtra,27,Mumbai Air,Mexico,K9,Plastic Sheets & Films,Kgs,353,31926,2628873
12,2021,Uttar Pradesh,9,Cgml Dadri,Netherland,L6,Copper And Prdcts Made Of Copr,None,0,69979,5274525
9,2018,Gujarat,24,"Pharma Dev By Zydus, Ahmedabad",Belgium,H8,"Drug Formulations, Biologicals",Kgs,2,1603,115740
3,2024,West Bengal,19,Kolkata Air,Netherland,O9,Computer Hardware,None,0,148647,12337296
6,2024,Karnataka,29,Kiadb Pharmaceutical Sez,China,N1,"Ac, Refrigeration Machnry Etc",None,0,67,5564
11,2021,West Bengal,19,Kolkata Sea,Brazil,I7,Residul Chemicl And Alled Prod,None,0,156763,11678306
12,2018,Uttar Pradesh,9,"Icd Panki, Up",China,M6,"Hnd Tool, Cttng Tool Of Metals",None,0,907,64162
5,2022,West Bengal,19,Kolkata Sea,Germany,L6,Copper And Prdcts Made Of Copr,None,0,597719,46215229
6,2018,Tamil Nadu,33,Sipct Ele Hw Hite Sez Oragadam,China,N7,ATM & Molding Machinery,None,0,494,33517
7,2020,Tamil Nadu,33,Icd Tuticorin,Japan,N6,Dairy Machinery,None,0,521768,39129175
7,2024,Karnataka,29,Bangalore Airport,Netherland,O9,Computer Hardware,None,0,647901,54161066
8,2023,Karnataka,29,Quest Sez Balgaom Karnataka,Poland,L4,Products Of Iron And Steel,None,0,90359,7480421
1,2019,Delhi,7,Delhi (Icd),Thailand,J7,Books & Printing,None,0,95028,6721595
7,2020,Gujarat,24,Icd Sabarmati,Austria,N4,Electric Machinery And Equipme,None,0,91359,6851334
9,2021,Tamil Nadu,33,Mahindra City Auto Anci Sez Tn,Switzerland,M6,"Hnd Tool, Cttng Tool Of Metals",None,0,6540,481087
11,2019,Karnataka,29,Bangalore Airport,Russia,N6,Dairy Machinery,None,0,30088,2149855
4,2024,Delhi,7,Delhi Air,Ireland,H5,"Bulk Drugs, Drug Intermediates",Kgs,450,6234,519937
9,2019,Maharashtra,27,Nhava Sheva Sea,Italy,I7,Residul Chemicl And Alled Prod,None,0,11691076,833967691
4,2024,Uttar Pradesh,9,Star Track Terminal Pvt Ltd Ic,U A E,L5,"Aluminium, Products Of Aluminm",Ton,263,513989,42869696
1,2022,Maharashtra,27,Mumbai Air,Vietnam,N4,Electric Machinery And Equipme,None,0,55447,4127558
2,2018,West Bengal,19,Kolkata Air,Korea,L6,Copper And Prdcts Made Of Copr,None,0,11840,762200
12,2023,Rajasthan,8,Jaipur A.C.,U S A,G9,Gold And Oth Precs Metl Jwlery,Kgs,35242,527615,43939011
11,2018,Karnataka,29,Icd Bangalore,Sri Lanka,J1,Footwear Of Rubber/Canvas Etc.,None,0,15834,1137704
12,2022,Gujarat,24,Ahmedabad Air Cargo Complex,U S A,H5,"Bulk Drugs, Drug Intermediates",Kgs,93,92073,7592743
12,2023,Maharashtra,27,Mumbai Sea,China,F3,"Granit, Natrl Stone And Prodct",Kgs,288,214,17860
8,2022,Haryana,6,Icd Garhiharsaru,Korea,N7,ATM & Molding Machinery,Kgs,82850,1142898,90923250
5,2020,Maharashtra,27,Icd Borkhedi,Unspecified,S4,Cotton Raw Incld. Waste,Ton,25,19373,1465752
8,2023,Telangana,36,Hyderabad Airport,U K,N3,"Cranes, Lifts And Winches",None,0,2927,242343
9,2018,Tamil Nadu,33,Chennai Air,Italy,F3,"Granit, Natrl Stone And Prodct",Kgs,47,9339,674436
1,2020,Tamil Nadu,33,Chennai Sea,China,L4,Products Of Iron And Steel,None,0,16762421,1195391973
6,2018,West Bengal,19,Kolkata Air,France,I7,Residul Chemicl And Alled Prod,None,0,1682,114016
1,2019,Delhi,7,Delhi Air,Czech ,N6,Dairy Machinery,None,0,19031,1346101
7,2024,Maharashtra,27,Mumbai Air,Turkey,I7,Residul Chemicl And Alled Prod,None,0,12355,1032795
3,2024,Tamil Nadu,33,Chennai Sea,Taiwan,O9,Computer Hardware,None,0,10857908,901180238
6,2022,Andhra Pradesh,28,Ramki Pharma City (India) Pvt,Belgium,I7,Residul Chemicl And Alled Prod,None,0,18,1424
1,2019,Maharashtra,27,Seepz,Switzerland,K9,Plastic Sheets & Films,Kgs,1,1278,90422
