Month (month),State Name (state_name),State Code (state_code),Port for Import (port),Import Country (country),Principle Commodity Code (pc_code),Commodity Name (commodity),Quantity Unit Measurement (units),Value of commodity quantity (quantity),Value of commodity quantity in USD (dollars_value),Value of commodity quantity in INR (inr_value)
01-06-19,Punjab,3,Icd Chowpayal,Canada,ZZ,Other Commodities,None,0,652,45281
01-06-18,Karnataka,29,Icd Bangalore,New Zealand,N7,"Atm, Injctng Mlding Mchnry Etc",None,0,39427,2672897
01-04-19,Maharashtra,27,Mumbai Air,Portugal,ZZ,Other Commodities,None,0,718,49842
01-02-20,Karnataka,29,Bangalore Airport,Italy,G1,Leather Garments,Kgs,31,6153,439885
01-10-19,Tamil Nadu,33,Kattupalli Port/ Tiruvallur,China P Rp,N1,"Ac, Refrigeration Machnry Etc",None,0,811169,57624929
01-08-23,Telangana,36,"Gmr Hyd. Aviation Ltd, Sez",France,O3,Pumps Of All Types,None,0,183,15130
01-02-20,Delhi,7,Delhi Air,Belgium,M7,Machine Tools,None,0,15847,1132905
01-02-24,Karnataka,29,Icd Bangalore,Netherland,O1,Other Misc. Engineering Items,None,0,217525,18046644
01-01-21,Gujarat,24,Icd Sabarmati,Saudi Arab,L3,Iron And Steel,Ton,202,171217,12517586
01-05-24,Gujarat,24,Kandla Sea,Colombia,F1,"Coal,Coke And Briquittes Etc",Ton,15000,3084059,257209000
01-12-19,Puducherry,34,Karikal,Indonesia,F1,"Coal,Coke And Briquittes Etc",Ton,640593,36361271,2588653423
01-03-22,Telangana,36,Icd Hyderabad,China P Rp,L5,"Aluminium, Products Of Aluminm",Ton,57,374036,28518210
01-02-24,Maharashtra,27,Nhava Sheva Sea,Switzerland,N7,"Atm, Injctng Mlding Mchnry Etc",Kgs,11,1525,126547
01-05-18,Gujarat,24,Mundra,Vietnam Soc Rep,M1,Zinc And Products Made Of Zinc,Ton,164,479203,32365112
01-02-20,Tamil Nadu,33,Chennai Sea,Belgium,P8,"Cotton Fabrics, Madeups Etc.",None,0,30226,2160840
01-09-21,Tamil Nadu,33,Chennai Air,Denmark,N7,"Atm, Injctng Mlding Mchnry Etc",Kgs,5059,260294,19148140
01-03-20,Delhi,7,Delhi Air,Korea Rp,I7,Residul Chemicl And Alled Prod,None,0,297561,22123844
01-11-21,Karnataka,29,Biocon Ltd Sez Karnataka,France,ZZ,Other Commodities,None,0,18123,1350128
01-02-20,Maharashtra,27,Nhava Sheva Sea,Austria,P3,Electronics Instruments,None,0,14028,1002860
01-11-18,Gujarat,24,"Hazira Port, Surat",Saudi Arab,I9,Othr Rubber Prodct Excpt Footw,None,0,243932,17527540
01-11-18,Tamil Nadu,33,Icd Irungattukottai,Hong Kong,M2,Oth Non Ferous Metal And Prodc,None,0,114,8181
01-10-19,Delhi,7,Delhi (Icd),China P Rp,M4,Electrodes,Kgs,2829,37434,2659305
01-12-22,Tamil Nadu,33,Chennai Air,Croatia,I4,Other Miscellaenious Chemicals,Kgs,0,13,1065
01-02-24,Tamil Nadu,33,Chennai Air,Netherland,F8,Finished Leather,Kgs,4885,175438,14554950
01-10-23,Maharashtra,27,Nhava Sheva Sea,Japan,E9,Mica,Kgs,1440,5468,455145
01-06-23,Maharashtra,27,Jnehru Port Trust,Mexico,E6,Alcoholic Beverages,Ltr,12452,198264,16304023
01-02-22,Delhi,7,Delhi (Icd),Korea Rp,J2,"Paint, Varnish And Allid Prodc",Kgs,25609,214371,16078466
01-04-19,Maharashtra,27,Icd Tumb,Taiwan,K8,Plastic Raw Materials,Ton,405,660637,45866338
01-11-23,Haryana,6,Icd Sonipat,Ireland,L5,"Aluminium, Products Of Aluminm",Ton,21,35622,2967216
01-05-19,Delhi,7,Delhi Air,Belgium,H7,Dyes,Kgs,1680,19289,1345843
01-08-21,Delhi,7,Cfs Patparganj,Romania,I9,Othr Rubber Prodct Excpt Footw,None,0,5941,440728
01-01-22,Gujarat,24,Ahmedabad Air Cargo Complex,Italy,N4,Electric Machinery And Equipme,None,0,33957,2527832
01-01-19,Haryana,6,"Icd Palwal, Bhagola-Janauli",Kuwait,L5,"Aluminium, Products Of Aluminm",Ton,17,30939,2188380
01-02-23,Tamil Nadu,33,Chennai Air,Poland,P2,Electronics Components,None,0,114858,9488300
01-03-21,Uttar Pradesh,9,Cfs Albatross/Icd Dadri,Hong Kong,L6,Copper And Prdcts Made Of Copr,None,0,176971,12882216
01-12-18,Tamil Nadu,33,Chennai Air,Japan,S6,Petroleum Products,Ton,0,5776,408523
01-03-24,Kerala,32,Cochin Airport,Germany,K9,"Plastc Sht, Film, Plts Etc",Kgs,70,5165,428662
01-09-22,Rajasthan,8,Icd Thar Dry Port,Mauritania,L3,Iron And Steel,Ton,53,35967,2885701
01-03-18,Kerala,32,Trivandrum Airport,Hungary,O9,"Computer Hardware, Peripherals",None,0,86228,5606641
01-01-20,Karnataka,29,Icd Bangalore,China P Rp,M9,Office Equipments,None,0,2356,168033
01-01-24,Maharashtra,27,Nhava Sheva Sea,Finland,K8,Plastic Raw Materials,Ton,50,125208,10407375
01-04-24,Haryana,6,Icd Sonipat,Malaysia,J9,"Paper, Paper Board And Product",None,0,32864,2741031
01-09-20,Gujarat,24,"Pharma Dev By Zydus, Ahmedabad",U S A,L4,Products Of Iron And Steel,None,0,83,6072
